CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),SWR Date,SWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for SWR,95% C.I. (lower limit) for SWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR,dfc_new,full_address,latitude,longitude,census_tract
422637,6,"GREENVILLE DIALYSIS CLINIC, LLC",01Jan2020-31Dec2023,2,1,220-A HOWE STREET,,GREENVILLE,SC,29601,Greenville,(864) 271-2002,Profit,Yes,American Renal Associates,Yes,20,Yes,Yes,Yes,18OCT2012,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,353,23.2,34.3,16.1,01Jan2023-31Dec2023,As Expected,1,78,136,220.4,88.8,01Jan2023-31Dec2023,As Expected,1,66,27.4,41.1,15.8,01Jan2023-31Dec2023,As Expected,1,20,35,157.9,11,01Jan2020-31Dec2022,As Expected,1,34,1.27,3.72,0.26,As Expected,1,62,16.7,42,5.2,01Jan2023-31Dec2023,As Expected,1,31,0.83,1.82,0.42,01Jan2022-31Dec2023,As Expected,1,71,0.65,1.33,0.25,01Jan2020-31Dec2022,As Expected,1,37,1.35,3.46,0.37,01Jan2023-31Dec2023,Better than Expected,1,0,0.73,,Worse than Expected,1,57,36.9,58,14.5,01APR2024-30JUN2024,1,2,1,53,429,89,1,27,212,98,259,0,,,259,0,,,43,1,0,1,14,1,74,654,1,1,79,612,8,26,33,23,11,1,57,446,14,259,0,,,existing,"220-A HOWE STREET, GREENVILLE, SC 29601",34.849611,-82.399498,45045000200
422638,6,DaVita Greer South Home Training (PD),01Jan2020-31Dec2023,,260,3254 Brushy Creek Road,Suite A,GREER,SC,29650,Greenville,(864) 877-9157,Profit,Yes,DaVita,No,0,No,Yes,Yes,19DEC2012,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,170,34.1,55.2,20.2,01Jan2023-31Dec2023,As Expected,1,42,125.2,241,71.2,01Jan2023-31Dec2023,As Expected,1,18,8.6,42,0.2,01Jan2023-31Dec2023,Worse than Expected,1,22,76.2,221,33.6,01Jan2020-31Dec2022,Not Available,199,17,,,,As Expected,1,43,37.2,66.7,14.9,01Jan2023-31Dec2023,As Expected,1,22,1.13,2.6,0.51,01Jan2022-31Dec2023,As Expected,1,16,0,1.58,0,01Jan2020-31Dec2022,Not Available,201,0,,,,01Jan2023-31Dec2023,Not Available,201,,,,Not Available,201,0,,,,01APR2024-30JUN2024,199,,201,0,,,1,46,338,99,259,0,,,259,0,,,,199,,199,10,1,46,338,0,1,52,370,4,15,28,35,19,201,0,,,259,0,,,existing,"3254 Brushy Creek Road, GREER, SC 29650",34.91872,-82.259375,45045002503
422639,6,US Renal Care Lyman Dialysis,01Jan2020-31Dec2023,4,1,208 Holly Springs Road,,LYMAN,SC,29365,Spartanburg,(864) 439-2138,Profit,Yes,"US Renal Care, Inc.",No,13,Yes,No,Yes,24JUL2013,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,120,14.4,27.7,6.4,01Jan2023-31Dec2023,As Expected,1,34,83.9,168.3,46,01Jan2023-31Dec2023,As Expected,1,29,21.3,39,8.5,01Jan2023-31Dec2023,Not Available,199,14,,,,01Jan2020-31Dec2022,Not Available,199,19,,,,As Expected,1,40,8,37.7,1.2,01Jan2023-31Dec2023,As Expected,1,16,0.6,1.72,0.22,01Jan2022-31Dec2023,As Expected,1,22,0.9,2.02,0.24,01Jan2020-31Dec2022,As Expected,1,23,1.71,4.99,0.35,01Jan2023-31Dec2023,As Expected,1,0,1.1,,As Expected,1,47,59.2,89,27.3,01APR2024-30JUN2024,199,,1,42,368,98,257,0,,,259,0,,,259,0,,,9,1,0,1,11,1,43,380,0,1,47,394,7,24,28,22,19,1,47,395,9,259,0,,,existing,"208 Holly Springs Road, LYMAN, SC 29365",34.957688,-82.12843,45083023004
422640,6,DaVita McColl Dialysis,01Jan2020-31Dec2023,2,1,3595 Highway 15-401 E,,MCCOLL,SC,29570,Marlboro,(843) 523-6274,Profit,Yes,DaVita,No,16,Yes,Yes,No,22JUL2013,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,272,20.3,33.3,12.5,01Jan2023-31Dec2023,As Expected,1,64,180.7,286.1,120.4,01Jan2023-31Dec2023,As Expected,1,64,31.8,46.6,19.1,01Jan2023-31Dec2023,Not Available,199,16,,,,01Jan2020-31Dec2022,As Expected,1,35,0.36,2.03,0.01,As Expected,1,55,21.3,50.5,6.7,01Jan2023-31Dec2023,As Expected,1,20,1.43,3.14,0.68,01Jan2022-31Dec2023,As Expected,1,43,1.23,2.61,0.43,01Jan2020-31Dec2022,As Expected,1,28,1.43,4.19,0.3,01Jan2023-31Dec2023,Better than Expected,1,0,0.84,,Worse than Expected,1,50,29.6,55.8,1.7,01APR2024-30JUN2024,1,5,1,49,452,97,1,20,166,94,259,0,,,259,0,,,,199,,199,8,1,69,618,0,1,71,631,8,25,27,24,16,1,50,464,6,259,0,,,existing,"3595 Highway 15-401 E, MCCOLL, SC 29570",34.674861,-79.54512,45069960400
422644,6,US Renal Care Easley Home Therapies,01Jan2020-31Dec2023,3,1,121 COMMERCE BLVD,,EASLEY,SC,29642,Pickens,(864) 859-7902,Profit,Yes,"US Renal Care, Inc.",No,4,No,Yes,Yes,07MAY2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,230,29.1,42.9,19.3,01Jan2023-31Dec2023,As Expected,1,43,138.5,250,84.5,01Jan2023-31Dec2023,As Expected,1,39,28.8,47.6,14.5,01Jan2023-31Dec2023,Not Available,199,19,,,,01Jan2020-31Dec2022,Not Available,199,15,,,,As Expected,1,47,29.9,58.8,11.3,01Jan2023-31Dec2023,As Expected,1,24,0.6,1.83,0.2,01Jan2022-31Dec2023,As Expected,1,50,0.56,1.45,0.13,01Jan2020-31Dec2022,Not Available,201,0,,,,01Jan2023-31Dec2023,Not Available,201,,,,As Expected,1,12,56.5,100,0,01APR2024-30JUN2024,1,3,199,2,24,,1,42,336,99,259,0,,,259,0,,,,199,,199,9,1,52,452,0,1,52,473,6,18,21,25,30,1,12,116,15,259,0,,,existing,"121 COMMERCE BLVD, EASLEY, SC 29642",34.82564,-82.53259,45077010903
422645,6,DaVita Pamplico Dialysis,01Jan2020-31Dec2023,2,1,1520 Flag Drive,,FLORENCE,SC,29505,Florence,(843) 413-0857,Profit,Yes,DaVita,No,20,Yes,Yes,Yes,16APR2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,369,24.7,40.1,15.6,01Jan2023-31Dec2023,Worse than Expected,1,109,236.5,329.5,177.9,01Jan2023-31Dec2023,Worse than Expected,1,154,36.5,45.8,28.4,01Jan2023-31Dec2023,Worse than Expected,1,50,73.7,140.1,45,01Jan2020-31Dec2022,As Expected,1,40,1.43,3.33,0.46,As Expected,1,78,17.1,38.2,6.5,01Jan2023-31Dec2023,As Expected,1,55,0.87,1.76,0.51,01Jan2022-31Dec2023,As Expected,1,131,1.24,1.97,0.69,01Jan2020-31Dec2022,As Expected,1,63,1.66,3.27,0.72,01Jan2023-31Dec2023,Better than Expected,1,0.37,1,0.09,As Expected,1,93,41.5,60.7,20.9,01APR2024-30JUN2024,1,0,1,81,729,97,1,18,132,99,259,0,,,259,0,,,18,1,3,1,34,1,110,1032,1,1,109,1033,8,20,24,27,21,1,93,887,10,259,0,,,existing,"1520 Flag Drive, FLORENCE, SC 29505",34.163409,-79.757636,45041000600
422646,6,US Renal Care North Aiken Dialysis,01Jan2020-31Dec2023,3,1,208 University Parkway,Suite 208,AIKEN,SC,29801,Aiken,(803) 642-2670,Profit,Yes,"US Renal Care, Inc.",Yes,13,Yes,Yes,Yes,22MAY2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,370,23.4,38.4,14.6,01Jan2023-31Dec2023,As Expected,1,92,98,182.7,57.4,01Jan2023-31Dec2023,As Expected,1,60,37.5,55.6,20.8,01Jan2023-31Dec2023,As Expected,1,26,8.4,171.7,0.8,01Jan2020-31Dec2022,As Expected,1,33,1.82,4.24,0.59,As Expected,1,83,20.5,41.2,8.7,01Jan2023-31Dec2023,As Expected,1,41,0.47,1.37,0.18,01Jan2022-31Dec2023,As Expected,1,49,1.47,2.77,0.59,01Jan2020-31Dec2022,As Expected,1,32,2.3,5,0.84,01Jan2023-31Dec2023,Better than Expected,1,0,0.78,,As Expected,1,59,49.1,76.3,20,01APR2024-30JUN2024,1,0,1,53,450,96,1,61,545,94,259,0,,,259,0,,,27,1,0,1,22,1,110,1018,0,1,115,1077,9,33,25,24,9,1,59,495,12,259,0,,,existing,"208 University Parkway, AIKEN, SC 29801",33.566953,-81.764902,45003021300
422647,6,DaVita Bluffton Dialysis,01Jan2020-31Dec2023,5,1,101 Okatie Center Blvd S,,Bluffton,SC,29909,Beaufort,(843) 706-9900,Profit,Yes,DaVita,No,11,Yes,Yes,Yes,22JUL2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,203,31.6,47.9,20.4,01Jan2023-31Dec2023,As Expected,1,68,100.7,186.1,58.5,01Jan2023-31Dec2023,As Expected,1,35,12.6,31.1,3.1,01Jan2023-31Dec2023,As Expected,1,26,0,40.5,0,01Jan2020-31Dec2022,As Expected,1,24,1.41,3.62,0.39,As Expected,1,58,24.1,48.4,9.7,01Jan2023-31Dec2023,As Expected,1,32,1.56,2.89,0.86,01Jan2022-31Dec2023,As Expected,1,34,0.91,2.22,0.22,01Jan2020-31Dec2022,Better than Expected,1,29,3.17,6.25,1.37,01Jan2023-31Dec2023,Better than Expected,1,0,0.88,,As Expected,1,61,58.2,83.5,31.2,01APR2024-30JUN2024,1,4,1,51,427,98,1,17,131,98,259,0,,,259,0,,,38,1,0,1,21,1,71,649,1,1,73,665,7,18,28,29,18,1,61,520,9,259,0,,,existing,"101 Okatie Center Blvd S, Bluffton, SC 29909",32.294897,-80.94678,45013002110
422648,6,DaVita Cypress Gardens HT at Home,01Jan2020-31Dec2023,,260,526 Broad Street,,SUMTER,SC,29150,Sumter,(803) 773-5891,Profit,Yes,DaVita,No,4,No,Yes,Yes,22AUG2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,59,47.9,98.5,19.3,01Jan2023-31Dec2023,As Expected,1,15,247.2,555.6,122.9,01Jan2023-31Dec2023,Not Available,199,9,,,,01Jan2023-31Dec2023,Not Available,199,12,,,,01Jan2020-31Dec2022,Not Available,199,4,,,,As Expected,1,15,27.8,78.2,4,01Jan2023-31Dec2023,Not Available,199,12,,,,01Jan2022-31Dec2023,As Expected,1,12,0,1.65,0,01Jan2020-31Dec2022,Not Available,201,0,,,,01Jan2023-31Dec2023,Not Available,201,,,,Not Available,201,0,,,,01APR2024-30JUN2024,199,,201,0,,,1,17,108,96,259,0,,,259,0,,,,199,,199,4,1,17,108,0,1,16,121,7,26,27,21,18,201,0,,,259,0,,,existing,"526 Broad Street, SUMTER, SC 29150",33.93808,-80.36212,45085000901
422649,6,DaVita Market Commons Dialysis Center,01Jan2020-31Dec2023,5,1,1350 Farrow Parkway,Suite 100,MYRTLE BEACH,SC,29577,Horry,(843) 839-0966,Profit,Yes,DaVita,No,17,Yes,Yes,Yes,27AUG2014,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,432,25.3,37.4,17.7,01Jan2023-31Dec2023,As Expected,1,107,139.8,228.1,91.8,01Jan2023-31Dec2023,As Expected,1,74,28.6,43.3,15.9,01Jan2023-31Dec2023,As Expected,1,51,8.3,70,1.6,01Jan2020-31Dec2022,As Expected,1,41,1.62,4.16,0.44,As Expected,1,89,18,38.9,7.1,01Jan2023-31Dec2023,As Expected,1,65,0.65,1.52,0.34,01Jan2022-31Dec2023,As Expected,1,73,0.63,1.56,0.16,01Jan2020-31Dec2022,As Expected,1,57,1.31,2.85,0.48,01Jan2023-31Dec2023,As Expected,1,0.9,1.87,0.37,As Expected,1,96,76.2,94.5,56.7,01APR2024-30JUN2024,1,4,1,85,708,99,1,41,338,96,259,0,,,259,0,,,11,1,0,1,36,1,124,1069,1,1,133,1116,4,14,25,34,23,1,96,762,4,259,0,,,existing,"1350 Farrow Parkway, MYRTLE BEACH, SC 29577",33.6707,-78.94589,45051051000
422650,6,Fresenius Medical Care Sumter Home,01Jan2020-31Dec2023,3,1,653 W. Wesmark Boulevard,,SUMTER,SC,29150,Sumter,(803) 905-4267,Profit,Yes,Fresenius Medical Care,No,6,Yes,Yes,Yes,25FEB2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,205,29,50.1,15.8,01Jan2023-31Dec2023,As Expected,1,53,121.6,233.4,70.5,01Jan2023-31Dec2023,As Expected,1,22,37.7,68.4,15.4,01Jan2023-31Dec2023,As Expected,1,35,17.7,101,4.7,01Jan2020-31Dec2022,As Expected,1,27,1.42,3.63,0.39,As Expected,1,52,24.6,55,8,01Jan2023-31Dec2023,As Expected,1,42,0.63,1.48,0.3,01Jan2022-31Dec2023,As Expected,1,34,1.35,2.69,0.46,01Jan2020-31Dec2022,Not Available,201,0,,,,01Jan2023-31Dec2023,Not Available,201,,,,As Expected,1,20,30.8,72.4,0,01APR2024-30JUN2024,1,0,199,1,1,,1,37,260,99,259,0,,,259,0,,,53,1,0,1,15,1,55,411,1,1,56,431,12,27,27,21,13,1,20,157,33,259,0,,,existing,"653 W. Wesmark Boulevard, SUMTER, SC 29150",33.952761,-80.399319,45085001803
422651,6,Fresenius Medical Care North Star Dialysis,01Jan2020-31Dec2023,2,1,140 Highland Center Drive,,COLUMBIA,SC,29203,Richland,(803) 736-0473,Profit,Yes,Fresenius Medical Care,No,21,Yes,No,No,28MAY2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,347,20.6,35.2,12.3,01Jan2023-31Dec2023,As Expected,1,91,164,248.3,113.7,01Jan2023-31Dec2023,As Expected,1,88,26.8,39.9,15.2,01Jan2023-31Dec2023,As Expected,1,35,52.7,136.5,25.3,01Jan2020-31Dec2022,Not Available,199,18,,,,As Expected,1,80,12.5,35.7,3.6,01Jan2023-31Dec2023,As Expected,1,43,1.03,1.99,0.58,01Jan2022-31Dec2023,As Expected,1,69,1.48,2.53,0.76,01Jan2020-31Dec2022,As Expected,1,36,0.58,2.09,0.07,01Jan2023-31Dec2023,Better than Expected,1,0,0.44,,As Expected,1,100,40.8,61.3,18.8,01APR2024-30JUN2024,1,0,1,95,802,95,257,0,,,259,0,,,259,0,,,40,1,0,1,25,1,96,811,2,1,97,820,11,24,28,24,14,1,100,845,20,259,0,,,existing,"140 Highland Center Drive, COLUMBIA, SC 29203",34.114395,-80.950114,45079011421
422652,6,Fresenius Medical Care Hartsville Home Dialysis,01Jan2020-31Dec2023,2,1,1051 S. 4th Street,,HARTSVILLE,SC,29550,Darlington,(843) 339-2047,Profit,Yes,Fresenius Medical Care,No,0,No,Yes,Yes,13JUL2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,137,23.6,44.4,10.9,01Jan2023-31Dec2023,As Expected,1,30,142.3,290.1,77,01Jan2023-31Dec2023,As Expected,1,24,25.6,52.5,8.4,01Jan2023-31Dec2023,Not Available,199,18,,,,01Jan2020-31Dec2022,As Expected,1,29,1.76,4.11,0.57,As Expected,1,36,26.5,58.9,8.3,01Jan2023-31Dec2023,As Expected,1,19,1.02,2.57,0.42,01Jan2022-31Dec2023,As Expected,1,25,0.7,2.25,0.08,01Jan2020-31Dec2022,Not Available,199,2,,,,01Jan2023-31Dec2023,Not Available,201,,,,As Expected,1,22,54.6,97.9,8.4,01APR2024-30JUN2024,1,0,201,0,,,1,18,105,95,259,0,,,259,0,,,,199,,199,6,1,39,269,3,1,40,285,5,18,25,22,30,1,22,173,19,259,0,,,existing,"1051 S. 4th Street, HARTSVILLE, SC 29550",34.36137,-80.06191,45031010600
422653,6,FRESENIUS MEDICAL CARE NORTH ANDERSON,01Jan2020-31Dec2023,2,1,2021 CARDINAL CIR,,ANDERSON,SC,29621,Anderson,(864) 224-0024,Profit,Yes,Fresenius Medical Care,No,21,Yes,Yes,Yes,04AUG2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,461,28.7,42.9,19.8,01Jan2023-31Dec2023,As Expected,1,116,144.6,226.9,98.2,01Jan2023-31Dec2023,As Expected,1,97,30.5,42.6,19.9,01Jan2023-31Dec2023,As Expected,1,41,35.1,95.9,16.2,01Jan2020-31Dec2022,As Expected,1,63,0.21,1.16,0.01,As Expected,1,127,23.2,39.6,12.2,01Jan2023-31Dec2023,As Expected,1,53,0.67,1.6,0.35,01Jan2022-31Dec2023,As Expected,1,65,0.76,1.75,0.25,01Jan2020-31Dec2022,As Expected,1,58,1.37,2.83,0.55,01Jan2023-31Dec2023,Better than Expected,1,0,0.64,,As Expected,1,121,43.5,63.6,22,01APR2024-30JUN2024,1,0,1,85,700,96,1,23,164,97,259,0,,,259,0,,,19,1,0,1,27,1,132,1092,0,1,147,1155,10,21,27,25,17,1,121,983,8,259,0,,,existing,"2021 CARDINAL CIR, ANDERSON, SC 29621",34.549879,-82.631871,45007001100
422654,6,Dentsville Kidney Center,01Jan2020-31Dec2023,2,1,201 Columbia Mall Blvd,Suite 141,COLUMBIA,SC,29223,Richland,(803) 865-1068,Profit,Yes,American Renal Associates,No,10,Yes,Yes,No,12OCT2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,150,19.2,36,8.9,01Jan2023-31Dec2023,As Expected,1,45,139.4,246.3,86.6,01Jan2023-31Dec2023,As Expected,1,39,29.2,47.9,15.6,01Jan2023-31Dec2023,As Expected,1,25,34.7,118.6,13.5,01Jan2020-31Dec2022,As Expected,1,23,0,1.7,0,As Expected,1,41,10.9,40.8,2.1,01Jan2023-31Dec2023,As Expected,1,31,1.16,2.46,0.59,01Jan2022-31Dec2023,As Expected,1,40,1.39,2.75,0.49,01Jan2020-31Dec2022,As Expected,1,18,2.42,7.08,0.5,01Jan2023-31Dec2023,As Expected,1,0.44,2.19,0.02,As Expected,1,31,42.1,75.9,5.9,01APR2024-30JUN2024,199,,1,29,268,100,1,16,138,97,259,0,,,259,0,,,44,1,0,1,16,1,45,417,0,1,48,436,6,24,33,25,12,1,31,276,14,259,0,,,existing,"201 Columbia Mall Blvd, COLUMBIA, SC 29223",34.066292,-80.964761,45079010803
422655,6,Fresenius Medical Care Swan Lake Dialysis Center,01Jan2020-31Dec2023,2,1,520 PHYSICIANS LANE,,SUMTER,SC,29150,Sumter,(803) 774-2205,Profit,Yes,Fresenius Medical Care,No,21,Yes,No,No,21OCT2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,365,24.2,39.1,15.4,01Jan2023-31Dec2023,As Expected,1,79,144.5,224.3,98,01Jan2023-31Dec2023,As Expected,1,71,26.6,41,14.7,01Jan2023-31Dec2023,As Expected,1,26,0,39.6,0,01Jan2020-31Dec2022,Not Available,199,25,,,,As Expected,1,64,15.2,36.6,5.3,01Jan2023-31Dec2023,As Expected,1,35,1.46,2.56,0.89,01Jan2022-31Dec2023,As Expected,1,75,1.46,2.29,0.8,01Jan2020-31Dec2022,As Expected,1,41,1.4,3.26,0.45,01Jan2023-31Dec2023,Better than Expected,1,0,0.46,,Worse than Expected,1,88,27.9,47.3,7.2,01APR2024-30JUN2024,1,0,1,81,742,98,257,0,,,259,0,,,259,0,,,11,1,0,1,18,1,82,753,1,1,90,777,6,23,28,29,13,1,88,777,20,259,0,,,existing,"520 PHYSICIANS LANE, SUMTER, SC 29150",33.936667,-80.36338,45085000901
422656,6,DaVita Wofford at Home,01Jan2020-31Dec2023,3,1,8024 WHITE AVE,,SPARTANBURG,SC,29303,Spartanburg,(864) 583-4798,Profit,Yes,DaVita,No,14,Yes,Yes,Yes,28OCT2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,267,26.4,40.5,17.6,01Jan2023-31Dec2023,As Expected,1,55,126.4,211.8,82.1,01Jan2023-31Dec2023,As Expected,1,39,20.8,35.6,9.6,01Jan2023-31Dec2023,As Expected,1,21,57.4,156.6,26.5,01Jan2020-31Dec2022,As Expected,1,32,1.69,4.33,0.46,As Expected,1,50,16.2,44.2,4.5,01Jan2023-31Dec2023,As Expected,1,26,0.95,1.9,0.49,01Jan2022-31Dec2023,As Expected,1,43,0.98,1.93,0.38,01Jan2020-31Dec2022,As Expected,1,26,0.84,3.05,0.1,01Jan2023-31Dec2023,As Expected,1,0.87,2.38,0.22,As Expected,1,54,52,80.7,21.3,01APR2024-30JUN2024,1,5,1,40,365,99,199,9,55,,259,0,,,259,0,,,17,1,8,1,12,1,59,509,0,1,64,530,5,14,25,35,21,1,54,463,13,259,0,,,existing,"8024 WHITE AVE, SPARTANBURG, SC 29303",34.980972,-81.962921,45083021600
422657,6,Fresenius Medical Care Walterboro,01Jan2020-31Dec2023,1,1,904 N. Jefferies Boulevard,,WALTERBORO,SC,29488,Colleton,(843) 782-4900,Profit,Yes,Fresenius Medical Care,No,16,Yes,Yes,No,26OCT2015,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,281,31.3,46.9,21.3,01Jan2023-31Dec2023,As Expected,1,69,192.8,287,138.3,01Jan2023-31Dec2023,As Expected,1,72,33.5,44.1,23.7,01Jan2023-31Dec2023,As Expected,1,29,33.2,127.7,11.8,01Jan2020-31Dec2022,As Expected,1,28,0.39,2.16,0.01,As Expected,1,59,10.6,39.9,2.1,01Jan2023-31Dec2023,As Expected,1,33,1.64,2.82,0.98,01Jan2022-31Dec2023,As Expected,1,54,1.75,2.73,0.99,01Jan2020-31Dec2022,As Expected,1,40,0.28,1.54,0.01,01Jan2023-31Dec2023,As Expected,1,1.07,2.38,0.39,As Expected,1,62,47.7,77.5,15.8,01APR2024-30JUN2024,1,0,1,55,458,96,199,5,40,,259,0,,,259,0,,,41,1,0,1,17,1,60,509,1,1,68,552,13,23,25,25,14,1,62,497,14,259,0,,,existing,"904 N. Jefferies Boulevard, WALTERBORO, SC 29488",32.915179,-80.667132,45029970402
